Comment,Designator,Footprint,LCSC Part #
MA22N-1J,X1,MA22N-1J,C725954
1N41480805,D1 D2 D3 D4,D0805,C2128
1k,4 33,R0603,C21190
1.2k,19,R0603,C22765
1u,C8 C9 C10 C11 C12 C13 C15 C16 C17 C18 C19,C0402,C694272
2n3904,T1,SOT23-BEC,C20526
3p,C7,C0603,C318663
10p,C1 C2,C0603,C1634
15k,20 21,R0603,C22809
20k,25 28 29 30,R0603,C4184
22k,22,R0603,C31850
24k,26 27,R0603,C23352
27k,10 11 31,R0603,C22967
30k,9,R0603,C22984
30p,C3 C4,C0603,C1658
33k,32 48,R0603,C4216
49.9k,38 41 44 46,R0603,C23184
50k,15,R0603,C23184
68k,3,R0603,C23231
100k,2 6 7 12,R0603,C25803
100k,13,R0402,C25741
100k,14 16 23,R0603,C25803
100k,24 34,R0402,C25741
100k,35,R0603,C25803
100k,36,R0402,C25741
100k,39 47 49,R0603,C25803
100n,C5 C6,C0603,C14663
120k,40 45,R0603,C25808
150k,18,R0603,C22807
200k,5 8 17,R0603,C25811
510R,1,R0603,C23193
820p,C14,C0603,C519567
4013T,IC5,TSSOP14,C406860
LM311T,IC6,TSSOP8,C2876875
TL072JT,IC4,TSSOP8,C90748
TL074JT,IC1 IC2 IC3,TSSOP14,C2652279
