Designator,Mid X,Mid Y,Layer,Rotation
1,48.74,18.10,Top,270.0
2,50.01, 5.40,Top,270.0
3, 4.60,18.10,Top,270.0
4, 1.27, 5.40,Top,270.0
5, 3.49, 5.40,Top,270.0
6, 8.10, 5.40,Top,90.0
7, 2.22,13.97,Top,0.0
8, 2.22,11.75,Top,180.0
9,14.29, 8.89,Top,270.0
10,10.48, 5.40,Top,270.0
11,12.54, 5.40,Top,90.0
12,10.79,14.61,Top,90.0
13, 8.73,18.10,Top,90.0
14,13.02,14.61,Top,90.0
15,15.24,18.10,Top,90.0
16,15.24,14.61,Top,270.0
17,17.62,18.10,Top,270.0
18,20.80,18.10,Top,90.0
19,27.46,18.10,Top,90.0
20,29.69,18.10,Top,270.0
21,17.46, 5.40,Top,90.0
22,23.02,14.61,Top,270.0
23,20.80, 5.40,Top,90.0
24,23.02, 5.40,Top,270.0
25,37.62,18.10,Top,90.0
26,44.29,18.10,Top,270.0
27,45.56, 5.40,Top,90.0
28,47.78, 5.40,Top,90.0
29,42.07,18.10,Top,90.0
30,43.34, 5.40,Top,270.0
31,15.08, 5.40,Top,270.0
32,37.94, 5.40,Top,270.0
33,52.23, 5.40,Top,90.0
34, 6.35,19.37,Top,90.0
35,37.94, 8.89,Top,270.0
36, 7.62,19.37,Top,90.0
38,35.40,18.10,Top,270.0
39,25.24,14.61,Top,270.0
40,31.91,18.10,Top,270.0
41,29.69,14.61,Top,270.0
44,29.69, 8.89,Top,90.0
45,27.46, 5.40,Top,270.0
46,29.69, 5.40,Top,270.0
47,25.24, 8.89,Top,90.0
48,35.40, 5.40,Top,270.0
49,31.91, 5.40,Top,270.0
C1,41.12, 5.40,Top,270.0
C2,39.85,18.10,Top,90.0
C3,27.46,14.61,Top,270.0
C4,27.46, 8.89,Top,90.0
C5,52.86,18.10,Top,270.0
C6,54.45, 5.40,Top,90.0
C7, 2.22, 9.53,Top,180.0
C8,48.42,14.13,Top,270.0
C9, 6.35,16.35,Top,90.0
C10,19.21, 6.83,Top,90.0
C11, 6.35, 6.83,Top,90.0
C12,19.21,16.67,Top,90.0
C13,33.66,16.67,Top,90.0
C14,46.51,18.10,Top,90.0
C15,39.05,14.13,Top,270.0
C16,33.66, 6.83,Top,90.0
C17,43.50, 9.37,Top,270.0
C18,43.50,14.13,Top,270.0
C19,47.94, 9.37,Top,270.0
D1,10.79,18.10,Top,90.0
D2,13.02,18.10,Top,90.0
D3,23.02,18.10,Top,270.0
D4,25.24,18.10,Top,90.0
IC1, 6.35,11.75,Top,0.0
IC2,19.21,11.75,Top,0.0
IC3,33.66,11.75,Top,0.0
IC4,41.27,11.75,Top,90.0
IC5,51.59,11.75,Top,0.0
IC6,45.72,11.75,Top,90.0
T1, 1.91,17.14,Top,180.0
X1,27.94, 1.27,Top,0.0
