Designator,Mid X,Mid Y,Layer,Rotation
1,48.74,18.1,Top,270
2,50.01,5.4,Top,270
3,4.6,18.1,Top,270
4,1.27,5.4,Top,270
5,3.49,5.4,Top,270
6,8.1,5.4,Top,90
7,2.22,13.97,Top,0
8,2.22,11.75,Top,180
9,14.29,8.89,Top,270
10,10.48,5.4,Top,270
11,12.54,5.4,Top,90
12,10.79,14.61,Top,90
13,8.73,18.1,Top,90
14,13.02,14.61,Top,90
15,15.24,18.1,Top,90
16,15.24,14.61,Top,270
17,17.62,18.1,Top,270
18,20.8,18.1,Top,90
19,27.46,18.1,Top,90
20,29.69,18.1,Top,270
21,17.46,5.4,Top,90
22,23.02,14.61,Top,270
23,20.8,5.4,Top,90
24,23.02,5.4,Top,270
25,37.62,18.1,Top,90
26,44.29,18.1,Top,270
27,45.56,5.4,Top,90
28,47.78,5.4,Top,90
29,42.07,18.1,Top,90
30,43.34,5.4,Top,270
31,15.08,5.4,Top,270
32,37.94,5.4,Top,270
33,52.23,5.4,Top,90
34,6.35,19.37,Top,90
35,37.94,8.89,Top,270
36,7.62,19.37,Top,90
38,35.4,18.1,Top,270
39,25.24,14.61,Top,270
40,31.91,18.1,Top,270
41,29.69,14.61,Top,270
44,29.69,8.89,Top,90
45,27.46,5.4,Top,270
46,29.69,5.4,Top,270
47,25.24,8.89,Top,90
48,35.4,5.4,Top,270
49,31.91,5.4,Top,270
C1,41.12,5.4,Top,270
C2,39.85,18.1,Top,90
C3,27.46,14.61,Top,270
C4,27.46,8.89,Top,90
C5,52.86,18.1,Top,270
C6,54.45,5.4,Top,90
C7,2.22,9.53,Top,180
C8,48.42,14.13,Top,270
C9,6.35,16.35,Top,90
C10,19.21,6.83,Top,90
C11,6.35,6.83,Top,90
C12,19.21,16.67,Top,90
C13,33.66,16.67,Top,90
C14,46.51,18.1,Top,90
C15,39.05,14.13,Top,270
C16,33.66,6.83,Top,90
C17,43.5,9.37,Top,270
C18,43.5,14.13,Top,270
C19,47.94,9.37,Top,270
D1,10.79,18.1,Top,90
D2,13.02,18.1,Top,90
D3,23.02,18.1,Top,270
D4,25.24,18.1,Top,90
IC1,6.35,11.75,Top,0
IC2,19.21,11.75,Top,0
IC3,33.66,11.75,Top,0
IC4,41.27,11.75,Top,0
IC5,51.59,11.75,Top,0
IC6,45.72,11.75,Top,0
T1,1.91,17.14,Top,90
X1,27.94,1.27,Top,0
