Designator,Mid X,Mid Y,Layer,Rotation
1, 6.99,23.81,Top,90.0
2, 4.45,23.81,Top,270.0
3, 1.91,23.81,Top,270.0
4,12.07, 8.57,Top,270.0
5, 9.53, 8.57,Top,270.0
6, 6.99, 8.57,Top,90.0
7,15.88, 7.30,Top,180.0
8,15.88, 9.84,Top,0.0
10, 4.45, 8.57,Top,90.0
11, 1.91, 8.57,Top,90.0
12,15.88,20.96,Top,180.0
13, 9.53,23.81,Top,90.0
14,15.88,18.41,Top,0.0
15,12.07,23.81,Top,270.0
16,19.69,23.81,Top,270.0
17,22.23,23.81,Top,90.0
18,24.77,23.81,Top,90.0
19,33.66,23.81,Top,90.0
20,36.20,23.81,Top,90.0
22,31.12,23.81,Top,90.0
23,19.69, 8.57,Top,90.0
24,22.23, 8.57,Top,270.0
25,51.44,23.81,Top,270.0
26,59.05,23.81,Top,90.0
27,53.98, 8.57,Top,90.0
28,51.44, 8.57,Top,90.0
29,56.52,23.81,Top,90.0
30,48.90, 8.57,Top,270.0
35,38.73,23.81,Top,90.0
36,48.90,23.81,Top,270.0
37,46.36,23.81,Top,90.0
38,43.82,23.81,Top,270.0
39,29.85,19.37,Top,90.0
40,41.27,23.81,Top,270.0
41,34.93,19.37,Top,270.0
44,34.93,13.02,Top,90.0
45,33.66, 8.57,Top,270.0
46,36.20, 8.57,Top,270.0
47,29.85,13.02,Top,90.0
48,43.82, 8.57,Top,270.0
49,38.73, 8.57,Top,270.0
50,41.27, 8.57,Top,90.0
55,24.77, 8.57,Top,90.0
56,27.30, 8.57,Top,270.0
C1,46.36, 8.57,Top,270.0
C2,53.98,23.81,Top,90.0
C3,32.38,19.37,Top,270.0
C4,32.38,13.02,Top,90.0
C5,61.60,23.81,Top,90.0
C6,59.05, 8.57,Top,270.0
C7,15.88,12.38,Top,0.0
C8,61.60, 8.57,Top,270.0
D1,14.61,23.81,Top,270.0
D2,17.14,23.81,Top,270.0
D3,26.99,23.81,Top,90.0
D4,28.89,23.81,Top,270.0
IC1, 8.89,16.19,Top,0.0
IC2,23.50,16.19,Top,0.0
IC3,41.27,16.19,Top,0.0
IC4,49.53,16.19,Top,0.0
IC5,57.79,16.19,Top,0.0
T1, 2.54,16.19,Top,180.0
