Designator,Mid X,Mid Y,Layer,Rotation
1, 6.99,24.45,Top,90.0
2, 4.45,24.45,Top,270.0
3, 1.91,24.45,Top,270.0
4,12.07, 8.89,Top,90.0
5, 9.53, 8.89,Top,270.0
6, 6.99, 8.89,Top,90.0
7,15.88, 7.62,Top,180.0
8,15.88,10.16,Top,0.0
10, 4.45, 8.89,Top,90.0
11, 1.91, 8.89,Top,90.0
12,15.88,21.27,Top,180.0
13, 9.53,24.45,Top,90.0
14,15.88,18.99,Top,0.0
15,12.07,24.45,Top,270.0
16,19.69,24.45,Top,270.0
17,22.23,24.45,Top,90.0
18,24.77,24.45,Top,90.0
19,33.66,24.45,Top,90.0
20,36.20,24.45,Top,90.0
22,31.12,24.45,Top,90.0
23,19.69, 8.89,Top,90.0
24,22.23, 8.89,Top,270.0
25,51.44,24.45,Top,270.0
26,59.05,24.45,Top,90.0
27,56.26, 8.89,Top,90.0
28,53.72, 8.89,Top,90.0
29,56.52,24.45,Top,90.0
30,51.18, 8.89,Top,270.0
35,38.73,24.45,Top,90.0
36,48.90,24.45,Top,270.0
37,46.36,24.45,Top,90.0
38,43.82,24.45,Top,270.0
39,29.34,20.26,Top,90.0
40,41.27,24.45,Top,270.0
41,34.42,20.26,Top,270.0
44,34.42,13.08,Top,90.0
45,35.94, 8.89,Top,270.0
46,38.48, 8.89,Top,270.0
47,29.34,12.76,Top,90.0
48,46.10, 8.89,Top,270.0
49,41.02, 8.89,Top,270.0
50,43.56, 8.89,Top,90.0
55,24.77, 8.89,Top,90.0
56,27.30, 8.89,Top,270.0
C1,48.64, 8.89,Top,270.0
C2,53.98,24.45,Top,90.0
C3,32.19,20.26,Top,270.0
C4,31.88,13.08,Top,90.0
C5,61.60,24.45,Top,90.0
C6,59.05, 8.89,Top,90.0
C7,15.88,12.70,Top,0.0
C8,61.60, 8.89,Top,90.0
C10,28.77,16.51,Top,270.0
C11,14.41,16.19,Top,270.0
C16,52.01,16.51,Top,270.0
D1,14.61,24.45,Top,90.0
D2,17.14,24.45,Top,90.0
D3,26.99,24.45,Top,270.0
D4,28.89,24.45,Top,90.0
IC1, 8.89,16.51,Top,0.0
IC2,23.50,16.51,Top,0.0
IC3,40.26,16.51,Top,0.0
IC4,48.51,16.51,Top,0.0
IC5,58.29,16.51,Top,0.0
T1, 2.54,16.51,Top,90.0
